District code,State name,District name,Population,Male,Male_Literate
463,MADHYA PRADESH,Singrauli,1178273,613637,359923
464,MADHYA PRADESH,Jhabua,1025048,515023,214582
465,MADHYA PRADESH,Alirajpur,728999,362542,120905
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,432259
467,MADHYA PRADESH,Burhanpur,757847,388504,233073
468,GUJARAT,Kachchh,2092371,1096737,739239
469,GUJARAT,Banas Kantha,3120506,1610379,1048402
470,GUJARAT,Patan,1343734,694397,494631
471,GUJARAT,Mahesana,2035064,1056520,847499
472,GUJARAT,Sabar Kantha,2428589,1244231,918625
473,GUJARAT,Gandhinagar,1391753,723864,582686
474,GUJARAT,Ahmadabad,7214225,3788051,3025463
475,GUJARAT,Surendranagar,1756268,909917,643221
476,GUJARAT,Rajkot,3804558,1974445,1514075
477,GUJARAT,Jamnagar,2160119,1114192,795140
478,GUJARAT,Porbandar,585449,300209,221621
479,GUJARAT,Junagadh,2743082,1404356,1046981
480,GUJARAT,Amreli,1514190,771049,558180
481,GUJARAT,Bhavnagar,2880365,1490201,1087371
482,GUJARAT,Anand,2092745,1087224,874481
483,GUJARAT,Kheda,2299885,1185727,942480
484,GUJARAT,Panch Mahals,2390776,1226961,858054
485,GUJARAT,Dohad,2127086,1068651,599035
486,GUJARAT,Vadodara,4165626,2153736,1614087
487,GUJARAT,Narmada,590297,301086,211767
488,GUJARAT,Bharuch,1551019,805707,623047
489,GUJARAT,The Dangs,228291,113821,77314
490,GUJARAT,Navsari,1329672,678165,539471
491,GUJARAT,Valsad,1705678,887222,655528
492,GUJARAT,Surat,6081322,3402224,2687468
493,GUJARAT,Tapi,807022,402188,269007
494,DAMAN AND DIU,Diu,52074,25642,20327
495,DAMAN AND DIU,Daman,191173,124659,104316
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,343709,193760,142521
497,MAHARASHTRA,Nandurbar,1648295,833170,512099
498,MAHARASHTRA,Dhule,2050862,1054031,723388
499,MAHARASHTRA,Jalgaon,4229917,2197365,1629223
500,MAHARASHTRA,Buldana,2586258,1337560,1048892
