District code,State name,District name,Population,Female,Female_Literate
402,CHHATTISGARH,Jashpur,851669,426922,214759
403,CHHATTISGARH,Raigarh,1493984,743706,408883
404,CHHATTISGARH,Korba,1206640,593725,315368
405,CHHATTISGARH,Janjgir - Champa,1619707,803990,425955
406,CHHATTISGARH,Bilaspur,2663629,1312055,664086
407,CHHATTISGARH,Kabeerdham,822526,410468,165664
408,CHHATTISGARH,Rajnandgaon,1537133,774278,447024
409,CHHATTISGARH,Durg,3343872,1661771,1018766
410,CHHATTISGARH,Raipur,4063872,2015686,1136591
411,CHHATTISGARH,Mahasamund,1032754,520787,273874
412,CHHATTISGARH,Dhamtari,799781,401884,242909
413,CHHATTISGARH,Uttar Bastar Kanker,748941,375603,197744
414,CHHATTISGARH,Bastar,1413199,714712,268528
415,CHHATTISGARH,Narayanpur,139820,69716,23172
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,269496,74708
417,CHHATTISGARH,Bijapur,255230,126567,32843
418,MADHYA PRADESH,Sheopur,687861,326077,119824
419,MADHYA PRADESH,Morena,1965970,897553,432033
420,MADHYA PRADESH,Bhind,1703005,776162,418404
421,MADHYA PRADESH,Gwalior,2032036,941709,554096
422,MADHYA PRADESH,Datia,786754,366597,187630
423,MADHYA PRADESH,Shivpuri,1726050,806255,327604
424,MADHYA PRADESH,Tikamgarh,1445166,684811,288587
425,MADHYA PRADESH,Chhatarpur,1762375,826254,371023
426,MADHYA PRADESH,Panna,1016520,483040,220419
427,MADHYA PRADESH,Sagar,2378458,1122201,637112
428,MADHYA PRADESH,Damoh,1264219,602346,301978
429,MADHYA PRADESH,Satna,2228935,1071440,570730
430,MADHYA PRADESH,Rewa,2365106,1140006,596185
431,MADHYA PRADESH,Umaria,644758,314084,145765
432,MADHYA PRADESH,Neemuch,826067,403414,200945
433,MADHYA PRADESH,Mandsaur,1340411,657560,331693
434,MADHYA PRADESH,Ratlam,1455069,716828,340790
435,MADHYA PRADESH,Ujjain,1986864,970575,510173
436,MADHYA PRADESH,Shajapur,1512681,732161,351103
437,MADHYA PRADESH,Dewas,1563715,758356,374653
438,MADHYA PRADESH,Dhar,2185793,1073068,438859
439,MADHYA PRADESH,Indore,3276697,1577070,1019499
440,MADHYA PRADESH,Khargone (West Nimar),1873046,919925,410806
441,MADHYA PRADESH,Barwani,1385881,686541,236284
442,MADHYA PRADESH,Rajgarh,1545814,755602,315448
